district,NP,station,number,lat_station,lon_station,lat,lon,poly_wkt
Киренский,Визирный,Витим,30054,59.45,112.583333,,,"POLYGON ((111.245647 58.89106, 111.25163 58.894243, 111.249556 58.89514699999999, 111.249847 58.895483, 111.250283 58.895763, 111.251806 58.896451, 111.252932 58.89732799999999, 111.253229 58.89845, 111.254141 58.899607, 111.255302 58.90024099999999, 111.25671 58.899995, 111.257469 58.89993699999999, 111.257901 58.89971199999999, 111.259164 58.899541, 111.259526 58.899466, 111.260007 58.89931199999999, 111.259001 58.897549, 111.259953 58.897405, 111.260756 58.89735, 111.259249 58.89491599999999, 111.258836 58.89438, 111.258251 58.893399, 111.256151 58.890234, 111.255656 58.889384, 111.254629 58.887197, 111.253339 58.885774, 111.250725 58.885793, 111.251167 58.886547, 111.250727 58.88723299999999, 111.249321 58.88798199999999, 111.247743 58.889409, 111.245647 58.89106))"
Киренский,Красноярово,Верхне-Марково,30229,57.3333,107.067,,,"POLYGON ((107.451129 57.337767, 107.452948 57.338221, 107.454409 57.338454, 107.45497 57.338576, 107.457634 57.338994, 107.458031 57.339107, 107.459944 57.33934799999999, 107.463289 57.33932, 107.466237 57.339175, 107.466302 57.338353, 107.46474 57.338421, 107.459887 57.336517, 107.458138 57.335369, 107.456704 57.33508399999999, 107.455102 57.33515, 107.455012 57.335516, 107.452571 57.336225, 107.451132 57.337332, 107.451129 57.337767))"
Киренский,Улькан,Верхне-Марково,30229,57.3333,107.067,,,"MULTIPOLYGON (((107.317979 57.241397, 107.318747 57.2407, 107.319216 57.240195, 107.31869 57.240055, 107.317829 57.24009, 107.317211 57.239877, 107.316838 57.240239, 107.31566 57.24021699999999, 107.314056 57.239947, 107.311066 57.239316, 107.310274 57.239069, 107.309949 57.239374, 107.310652 57.239586, 107.312192 57.240194, 107.312126 57.240513, 107.312066 57.240654, 107.312703 57.240914, 107.312561 57.241183, 107.313326 57.24127, 107.313432 57.240976, 107.313723 57.24106099999999, 107.314982 57.241318, 107.315216 57.240983, 107.316645 57.241291, 107.317722 57.24168299999999, 107.317979 57.241397)), ((107.325261 57.24372, 107.324648 57.243315, 107.323366 57.242684, 107.323874 57.242373, 107.324197 57.242012, 107.323355 57.242126, 107.321966 57.24144, 107.321074 57.241972, 107.320547 57.242154, 107.320564 57.242551, 107.320112 57.242813, 107.321325 57.243427, 107.321777 57.243165, 107.322069 57.243305, 107.321096 57.243735, 107.320149 57.243509, 107.319762 57.243733, 107.319927 57.243816, 107.319629 57.243989, 107.320105 57.24422999999999, 107.320455 57.244026, 107.320743 57.24417099999999, 107.321076 57.243979, 107.321629 57.243987, 107.321988 57.244224, 107.32251 57.243998, 107.322081 57.243775, 107.322668 57.2435, 107.32421 57.244253, 107.323792 57.24453099999999, 107.324644 57.244908, 107.324809 57.245145, 107.325848 57.24576099999999, 107.325861 57.24561199999999, 107.326669 57.245297, 107.327458 57.24502, 107.32785 57.24478, 107.326475 57.244224, 107.326216 57.244076, 107.325261 57.24372)))"
Киренский,Алексеевка,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.371508 57.854986, 108.373396 57.855787, 108.375134 57.856794, 108.376985 57.856823, 108.37904 57.855993, 108.380499 57.856199, 108.385005 57.854403, 108.380499 57.852939, 108.377345 57.852493, 108.374147 57.853351, 108.371508 57.854986))"
Киренский,Алексеевск,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.325953 57.836962, 108.32642 57.838637, 108.329649 57.839312, 108.332652 57.840329, 108.335473 57.841209, 108.339873 57.84185799999999, 108.345459 57.842814, 108.34909 57.84314999999999, 108.352579 57.843596, 108.355635 57.843869, 108.360026 57.843922, 108.363001 57.844261, 108.365951 57.843765, 108.367358 57.843801, 108.372735 57.84466399999999, 108.373445 57.84322599999999, 108.369288 57.841986, 108.368151 57.841567, 108.367887 57.84132, 108.365969 57.840944, 108.36564 57.840826, 108.365735 57.83914799999999, 108.365512 57.838947, 108.366537 57.83737799999999, 108.367477 57.837252, 108.367859 57.837052, 108.368751 57.83602399999999, 108.369141 57.835794, 108.368768 57.835532, 108.368942 57.835093, 108.36704 57.834878, 108.366866 57.835317, 108.366284 57.835168, 108.366547 57.834742, 108.365221 57.83450999999999, 108.364469 57.834593, 108.36201 57.834498, 108.360958 57.834652, 108.35798 57.834532, 108.356824 57.834229, 108.356507 57.834442, 108.355543 57.83412999999999, 108.354938 57.834618, 108.352916 57.834835, 108.348314 57.834311, 108.33581 57.833347, 108.334914 57.83337599999999, 108.333402 57.834218, 108.331971 57.835435, 108.331405 57.836092, 108.329725 57.835766, 108.326602 57.835667, 108.325953 57.836962))"
Киренский,Алымовка,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.570907 57.957818, 108.571446 57.95896699999999, 108.570977 57.95927, 108.571066 57.960137, 108.571736 57.961171, 108.572232 57.96107499999999, 108.572392 57.960835, 108.573988 57.960596, 108.574889 57.962563, 108.574111 57.962982, 108.574633 57.96442, 108.576085 57.96422699999999, 108.576743 57.964161, 108.577029 57.964975, 108.577486 57.966489, 108.579275 57.966296, 108.581306 57.966003, 108.582839 57.966235, 108.583917 57.965824, 108.582553 57.964611, 108.583108 57.964016, 108.584395 57.963916, 108.584739 57.96383299999999, 108.584759 57.962598, 108.584414 57.96237799999999, 108.584261 57.962128, 108.583122 57.961478, 108.58068 57.960421, 108.580072 57.959725, 108.579933 57.959295, 108.577684 57.957833, 108.576741 57.957503, 108.575071 57.957137, 108.574459 57.95714299999999, 108.573239 57.956803, 108.572615 57.95672399999999, 108.570907 57.957818))"
Киренский,Бубновка,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.218098 57.75557, 108.21827 57.75705499999999, 108.220533 57.757267, 108.220769 57.75765699999999, 108.222604 57.758133, 108.224836 57.758311, 108.227046 57.758345, 108.227994 57.758152, 108.228112 57.75788799999999, 108.229968 57.757985, 108.232661 57.757882, 108.236009 57.756947, 108.243787 57.75463, 108.246416 57.754177, 108.248894 57.753971, 108.251684 57.753919, 108.254602 57.754137, 108.255331 57.753546, 108.254441 57.753116, 108.253701 57.753059, 108.250804 57.753231, 108.250235 57.751952, 108.247274 57.75183699999999, 108.245053 57.75168799999999, 108.243916 57.752038, 108.243905 57.75259399999999, 108.238777 57.752933, 108.237882 57.751997, 108.237034 57.751979, 108.235371 57.7521, 108.231016 57.754113, 108.231477 57.754698, 108.225243 57.754985, 108.225115 57.75523699999999, 108.220297 57.75550699999999, 108.218098 57.75557))"
Киренский,Верхнекарелина,Киренск,30230,57.783333,108.1,,,"POLYGON ((107.766313 57.866674, 107.774097 57.86848699999999, 107.775227 57.868925, 107.775922 57.868869, 107.775086 57.869464, 107.776359 57.869971, 107.777348 57.87033899999999, 107.778639 57.870482, 107.779045 57.871009, 107.777938 57.871495, 107.778286 57.871829, 107.779111 57.872485, 107.780901 57.87198799999999, 107.78247 57.871592, 107.781207 57.870596, 107.781086 57.870209, 107.781856 57.87000699999999, 107.780433 57.868975, 107.779365 57.869223, 107.775232 57.86704, 107.768052 57.866024, 107.766746 57.865892, 107.766313 57.866674))"
Киренский,Вишнякова,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.852904 58.13283, 108.854139 58.134003, 108.857652 58.13459599999999, 108.859822 58.135261, 108.863826 58.136747, 108.865767 58.135814, 108.868567 58.136914, 108.869781 58.136442, 108.869807 58.135172, 108.865334 58.133979, 108.861664 58.13315, 108.858423 58.13185199999999, 108.855175 58.13073199999999, 108.852904 58.13283))"
Киренский,Дарьина,Киренск,30230,57.783333,108.1,,,"POLYGON ((109.656256 58.315461, 109.656256 58.31567099999999, 109.657257 58.317752, 109.658094 58.317667, 109.658846 58.317605, 109.658399 58.316197, 109.657971 58.315409, 109.65696 58.31532, 109.656256 58.315461))"
Киренский,Ичера,Киренск,30230,57.783333,108.1,,,"POLYGON ((109.770245 58.510864, 109.772509 58.511246, 109.772766 58.512184, 109.771275 58.512302, 109.771177 58.513683, 109.771381 58.514245, 109.773602 58.514615, 109.774299 58.514318, 109.775104 58.513655, 109.776794 58.513483, 109.777796 58.51352, 109.778584 58.513378, 109.777836 58.511778, 109.777102 58.510056, 109.77616 58.508066, 109.775452 58.507875, 109.774819 58.507504, 109.7738 58.507746, 109.773593 58.508658, 109.772971 58.509697, 109.772541 58.510309, 109.770546 58.510337, 109.770245 58.510864))"
Киренский,Киренск,Киренск,30230,57.783333,108.1,,,"MULTIPOLYGON (((108.078262 57.804465, 108.080234 57.803947, 108.079654 57.802583, 108.077616 57.801071, 108.073625 57.800796, 108.071479 57.800819, 108.07002 57.803065, 108.078262 57.804465)), ((108.056133 57.762489, 108.053094 57.761678, 108.052804 57.763233, 108.050057 57.76454099999999, 108.050484 57.767898, 108.044549 57.768275, 108.040374 57.769271, 108.040035 57.770574, 108.044889 57.771384, 108.044085 57.772479, 108.044053 57.772989, 108.059797 57.77541799999999, 108.064853 57.775531, 108.069256 57.7754, 108.069351 57.781572, 108.069447 57.781963, 108.069909 57.782293, 108.074286 57.78329, 108.087172 57.787726, 108.088481 57.788047, 108.09024 57.788241, 108.090154 57.78913499999999, 108.092043 57.789193, 108.09215 57.789387, 108.096463 57.788837, 108.10245 57.788963, 108.10653 57.78866499999999, 108.107189 57.789663, 108.104821 57.794653, 108.110207 57.795099, 108.108619 57.797425, 108.112009 57.797929, 108.114665 57.795162, 108.125377 57.782517, 108.127673 57.780706, 108.128789 57.779032, 108.131407 57.77668199999999, 108.138359 57.77899799999999, 108.147071 57.78152, 108.154645 57.782265, 108.155139 57.782207, 108.156598 57.780694, 108.161426 57.781875, 108.163722 57.77894, 108.163872 57.777404, 108.160096 57.777175, 108.157177 57.776671, 108.149796 57.774859, 108.14662 57.773782, 108.143959 57.773094, 108.135806 57.771237, 108.134132 57.770686, 108.131042 57.768783, 108.129969 57.768485, 108.109954 57.766759, 108.110462 57.764595, 108.111382 57.764382, 108.111122 57.764216, 108.111777 57.763205, 108.108597 57.762746, 108.109934 57.761067, 108.109405 57.75961299999999, 108.106038 57.758035, 108.103372 57.757182, 108.101776 57.755762, 108.101063 57.75610099999999, 108.098715 57.75472, 108.098006 57.754892, 108.096612 57.754708, 108.093479 57.756073, 108.092508 57.756091, 108.092723 57.75511599999999, 108.090469 57.754863, 108.08525 57.754777, 108.083683 57.75488, 108.083233 57.755488, 108.083233 57.75622199999999, 108.083533 57.756842, 108.077277 57.758297, 108.076657 57.75801, 108.075735 57.758309, 108.075048 57.758733, 108.074427 57.758137, 108.072582 57.757638, 108.070599 57.756856, 108.066431 57.755103, 108.064661 57.754115, 108.061347 57.752807, 108.060945 57.750894, 108.061562 57.750809, 108.061279 57.750183, 108.060632 57.750246, 108.059727 57.747013, 108.058643 57.74691, 108.056948 57.747266, 108.054566 57.748333, 108.055511 57.750925, 108.06054 57.752875, 108.063062 57.756322, 108.062561 57.756721, 108.062324 57.75755599999999, 108.057804 57.75922199999999, 108.058201 57.759847, 108.056133 57.762489)))"
Киренский,Коршуново,Киренск,30230,57.783333,108.1,,,"POLYGON ((110.134443 58.59249699999999, 110.134649 58.593266, 110.136748 58.593896, 110.136896 58.594133, 110.136185 58.595177, 110.136076 58.595485, 110.136411 58.59592499999999, 110.136493 58.596308, 110.136362 58.597888, 110.136511 58.598039, 110.136832 58.598101, 110.141 58.59805, 110.144286 58.598955, 110.1492 58.600167, 110.150099 58.59931, 110.155823 58.601121, 110.155578 58.60136499999999, 110.156565 58.601555, 110.156672 58.60143799999999, 110.157518 58.601692, 110.15837 58.601067, 110.156683 58.600178, 110.155727 58.597987, 110.144841 58.594694, 110.135137 58.592119, 110.134443 58.59249699999999))"
Киренский,Кривая Лука,Киренск,30230,57.783333,108.1,,,"POLYGON ((107.813817 57.597233, 107.814131 57.60004499999999, 107.814732 57.60119599999999, 107.815311 57.602059, 107.817577 57.602883, 107.819885 57.601206, 107.823008 57.601741, 107.822817 57.602401, 107.824084 57.603025, 107.83144 57.603879, 107.834266 57.60336299999999, 107.837098 57.603159, 107.839424 57.600779, 107.837587 57.597443, 107.834744 57.59497, 107.830486 57.592194, 107.825183 57.595295, 107.818942 57.596804, 107.817711 57.596944, 107.816664 57.597137, 107.813817 57.597233))"
Киренский,Кривошапкино,Киренск,30230,57.783333,108.1,,,"POLYGON ((107.997306 57.75322199999999, 107.997312 57.754192, 107.999568 57.754093, 108.00076 57.755236, 108.001867 57.755622, 108.00294 57.759694, 108.002511 57.76079499999999, 108.003026 57.761059, 108.007641 57.76067099999999, 108.007909 57.761346, 108.008735 57.76184499999999, 108.010042 57.761919, 108.009763 57.75956799999999, 108.00869 57.754773, 108.007768 57.754085, 108.011469 57.753293, 108.010058 57.751257, 108.00837 57.74495, 108.007847 57.745275, 108.007281 57.745897, 108.00615 57.747785, 108.00352 57.74786, 108.001209 57.746854, 108.001523 57.746382, 107.999047 57.745771, 107.997852 57.750155, 107.997306 57.75322199999999))"
Киренский,Макарово,Киренск,30230,57.783333,108.1,,,"POLYGON ((107.802526 57.479946, 107.804228 57.480172, 107.806089 57.480487, 107.809823 57.48139399999999, 107.812886 57.482259, 107.816329 57.483337, 107.823546 57.48547499999999, 107.829758 57.487516, 107.833789 57.489054, 107.836187 57.490092, 107.840048 57.491857, 107.841377 57.4907, 107.84018 57.489942, 107.841252 57.48889999999999, 107.839348 57.488386, 107.836382 57.487002, 107.832239 57.484806, 107.826611 57.482141, 107.827441 57.48083699999999, 107.82061 57.479039, 107.818934 57.480151, 107.818431 57.47994, 107.813834 57.478851, 107.813309 57.479265, 107.811281 57.478687, 107.808367 57.47857399999999, 107.803581 57.477593, 107.802526 57.479946))"
Киренский,Мироново,Киренск,30230,57.783333,108.1,,,"MULTIPOLYGON (((109.648925 58.30655299999999, 109.648171 58.30676099999999, 109.64948 58.308075, 109.650235 58.30786699999999, 109.65084 58.307675, 109.649444 58.306447, 109.648925 58.30655299999999)), ((109.643456 58.304807, 109.643461 58.304464, 109.644106 58.304477, 109.644158 58.303864, 109.643474 58.30383699999999, 109.643507 58.302032, 109.642556 58.301235, 109.643252 58.30097499999999, 109.64347 58.30079, 109.64193 58.299736, 109.640035 58.29850399999999, 109.639257 58.297814, 109.638498 58.298095, 109.63792 58.29797, 109.637976 58.298278, 109.637274 58.29853199999999, 109.641562 58.301792, 109.641197 58.302197, 109.641173 58.302854, 109.641988 58.30285499999999, 109.641944 58.303434, 109.641915 58.304924, 109.642767 58.30492899999999, 109.643055 58.305138, 109.643456 58.304807)))"
Киренский,Мутина,Киренск,30230,57.783333,108.1,,,"POLYGON ((110.030571 58.625682, 110.033324 58.62636, 110.033691 58.625954, 110.034044 58.626, 110.034114 58.625646, 110.03451 58.625248, 110.03173 58.624497, 110.031335 58.624895, 110.030632 58.624894, 110.030939 58.625276, 110.030571 58.625682))"
Киренский,Никулина,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.589295 57.988381, 108.589488 57.98866599999999, 108.593564 57.991108, 108.594936 57.991366, 108.595537 57.990876, 108.598962 57.988581, 108.601322 57.987772, 108.603742 57.98733799999999, 108.606032 57.986484, 108.605485 57.985595, 108.602706 57.985384, 108.599874 57.985965, 108.599592 57.985727, 108.599976 57.985022, 108.602288 57.983908, 108.601311 57.98316699999999, 108.597084 57.985583, 108.595024 57.986239, 108.589295 57.988381))"
Киренский,Орлова,Киренск,30230,57.783333,108.1,,,"POLYGON ((109.098564 58.277449, 109.102641 58.279099, 109.102341 58.280004, 109.103521 58.280151, 109.110108 58.28058, 109.110667 58.279267, 109.106698 58.278668, 109.104359 58.277888, 109.100924 58.276228, 109.098564 58.277449))"
Киренский,Петропавловское,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.959569 58.202062, 108.960955 58.20308, 108.959789 58.203641, 108.962175 58.205307, 108.962975 58.20493699999999, 108.964214 58.205901, 108.965201 58.206609, 108.966286 58.207235, 108.96743 58.207759, 108.966332 58.208628, 108.967 58.208864, 108.966718 58.209059, 108.967206 58.209293, 108.969462 58.210504, 108.968657 58.2112, 108.968324 58.211576, 108.96816 58.211955, 108.967814 58.212294, 108.967332 58.212552, 108.967628 58.21305899999999, 108.967996 58.213382, 108.96917 58.2139, 108.970057 58.213415, 108.970648 58.213583, 108.971409 58.213051, 108.969566 58.212229, 108.970238 58.211741, 108.97102 58.21203999999999, 108.972667 58.211558, 108.976035 58.21351499999999, 108.977217 58.213417, 108.97812 58.212616, 108.978157 58.211848, 108.97711 58.211213, 108.976542 58.210314, 108.97604 58.20872, 108.973475 58.206782, 108.972525 58.206333, 108.965525 58.202571, 108.963901 58.201261, 108.962412 58.201457, 108.961829 58.201429, 108.961326 58.201562, 108.960439 58.201874, 108.959569 58.202062))"
Киренский,Салтыкова,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.472856 57.944435, 108.475967 57.947492, 108.477492 57.948617, 108.480174 57.94743, 108.484466 57.949689, 108.48717 57.948913, 108.477941 57.943955, 108.475002 57.943419, 108.472856 57.944435))"
Киренский,Усть-Киренга,Киренск,30230,57.783333,108.1,,,"POLYGON ((107.966558 57.41087899999999, 107.968746 57.41299799999999, 107.970291 57.415546, 107.97473 57.41492299999999, 107.973399 57.412491, 107.972005 57.411357, 107.969905 57.410613, 107.967674 57.410717, 107.966558 57.41087899999999))"
Киренский,Чечуйск,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.695418 58.071103, 108.696977 58.071548, 108.69746 58.071067, 108.70018 58.072427, 108.704439 58.07499199999999, 108.707449 58.074497, 108.708206 58.074268, 108.709606 58.073638, 108.710318 58.07328399999999, 108.710708 58.07363299999999, 108.711112 58.07352299999999, 108.713207 58.073681, 108.713781 58.072864, 108.710546 58.071717, 108.706896 58.070831, 108.703861 58.070206, 108.699034 58.06956899999999, 108.698833 58.069883, 108.698349 58.069927, 108.697861 58.06985599999999, 108.697368 58.070367, 108.696454 58.070102, 108.695418 58.071103))"
Киренский,Юбилейный,Киренск,30230,57.783333,108.1,,,"POLYGON ((108.82938 58.128122, 108.837973 58.131834, 108.839895 58.13055199999999, 108.842554 58.13063099999999, 108.844538 58.130502, 108.847613 58.13089799999999, 108.850295 58.13197899999999, 108.852904 58.13283, 108.855175 58.13073199999999, 108.85292 58.129794, 108.849443 58.128287, 108.846043 58.12771799999999, 108.843354 58.12752399999999, 108.841525 58.127457, 108.839296 58.126982, 108.83437 58.125735, 108.833233 58.126725, 108.832583 58.127382, 108.831732 58.12759399999999, 108.830002 58.127463, 108.82938 58.128122))"
